time,lon,lat,spatial_ref,rf
2024-01-03,80.75,21.75,0,0.0
2024-01-03,81.0,18.0,0,0.0
2024-01-03,81.0,18.25,0,0.0
2024-01-03,81.0,18.5,0,0.0
2024-01-03,81.0,18.75,0,0.0
2024-01-03,81.0,19.0,0,0.0
2024-01-03,81.0,19.25,0,0.0
2024-01-03,81.0,19.5,0,0.0
2024-01-03,81.0,19.75,0,0.0
2024-01-03,81.0,20.0,0,0.0
2024-01-03,81.0,20.25,0,0.0
2024-01-03,81.0,20.5,0,0.0
2024-01-03,81.0,20.75,0,0.0
2024-01-03,81.0,21.0,0,0.0
2024-01-03,81.0,21.25,0,0.0
2024-01-03,81.0,21.5,0,0.0
2024-01-03,81.0,21.75,0,0.0
2024-01-03,81.0,22.0,0,0.0
2024-01-03,81.25,18.0,0,0.0
2024-01-03,81.25,18.25,0,0.0
2024-01-03,81.25,18.5,0,0.0
2024-01-03,81.25,18.75,0,0.0
2024-01-03,81.25,19.0,0,0.0
2024-01-03,81.25,19.25,0,0.0
2024-01-03,81.25,19.5,0,0.0
2024-01-03,81.25,19.75,0,0.0
2024-01-03,81.25,20.0,0,0.0
2024-01-03,81.25,20.25,0,0.0
2024-01-03,81.25,20.5,0,0.0
2024-01-03,81.25,20.75,0,0.0
2024-01-03,81.25,21.0,0,0.0
2024-01-03,81.25,21.25,0,0.0
2024-01-03,81.25,21.5,0,0.0
2024-01-03,81.25,21.75,0,0.0
2024-01-03,81.25,22.0,0,0.0
2024-01-03,81.25,22.25,0,0.0
2024-01-03,81.5,18.25,0,0.0
2024-01-03,81.5,18.5,0,0.0
2024-01-03,81.5,18.75,0,0.0
2024-01-03,81.5,19.0,0,0.0
2024-01-03,81.5,19.25,0,0.0
2024-01-03,81.5,19.5,0,0.0
2024-01-03,81.5,19.75,0,0.0
2024-01-03,81.5,20.0,0,0.0
2024-01-03,81.5,20.25,0,0.0
2024-01-03,81.5,20.5,0,0.0
2024-01-03,81.5,20.75,0,0.0
2024-01-03,81.5,21.0,0,0.0
2024-01-03,81.5,21.25,0,0.0
2024-01-03,81.5,21.5,0,0.0
2024-01-03,81.5,21.75,0,0.0
